,Unnamed: 0,SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
76,81,82,Ghajini,1940000000,1140000000,1570000000,360000000,520000000,Blockbuster,tt1166100,186.0,Dec,7.3,68367.0
77,82,83,Ae Dil Hai Mushkil,2400000000,1130000000,1580000000,820000000,700000000,SuperHit,tt4559006,158.0,Oct,5.8,26873.0
78,83,84,Holiday,1780000000,1120000000,1530000000,240000000,500000000,SuperHit,tt2556308,160.0,Jun,7.2,30846.0
79,84,85,Barfi!,1750000000,1120000000,1450000000,300000000,400000000,SuperHit,tt2082197,151.0,Sep,8.1,88779.0
80,85,86,Housefull 2,1880000000,1120000000,1510000000,360000000,720000000,SuperHit,tt1980986,145.0,Apr,5.4,16357.0
81,86,87,Housefull 3,1850000000,1100000000,1540000000,310000000,850000000,Hit,tt4559046,140.0,Jun,4.9,11062.0
82,87,88,Gold,1580000000,1090000000,1410000000,170000000,750000000,Hit,tt1800302,120.0,Jan,6.7,70479.0
83,88,89,Kisi Ka Bhai Kisi Ki Jaan,1820000000,1090000000,1300000000,520000000,1000000000,Below Average,tt3679040,145.0,Apr,4.0,41238.0
84,89,90,Sonu Ke Titu Ki Sweety,1560000000,1080000000,1390000000,170000000,400000000,Blockbuster,tt7581902,138.0,Feb,7.1,25081.0
85,90,91,Bhaag Milkha Bhaag,1680000000,1080000000,1460000000,210000000,300000000,SuperHit,tt2356180,186.0,Jul,8.2,74513.0
86,92,93,Golmaal 3,1620000000,1060000000,1430000000,180000000,400000000,Blockbuster,tt1562859,155.0,Nov,5.6,10063.0
87,93,94,Pushpa: The Rise (Part 1),3500000000,1060000000,3130000000,360000000,1500000000,SuperHit,tt9389998,179.0,Dec,7.6,97231.0
88,94,95,ABCD 2,1660000000,1060000000,1460000000,190000000,650000000,SuperHit,tt6049376,154.0,Jun,5.4,7634.0
89,95,96,Ek Villain,1550000000,1050000000,1420000000,120000000,390000000,SuperHit,tt11947158,129.0,Jul,4.4,16063.0
90,96,97,Son Of Sardaar,1500000000,1050000000,1410000000,80000000,400000000,SuperHit,tt2178508,141.0,Nov,4.2,10910.0
91,97,98,Kaabil,1780000000,1040000000,1450000000,320000000,350000000,Hit,tt5460276,139.0,Jan,7.1,29951.0
92,98,99,De De Pyaar De,1390000000,1040000000,1130000000,260000000,750000000,Hit,tt8647400,135.0,May,6.5,9205.0
93,99,100,83,1930000000,1040000000,1290000000,640000000,2200000000,Disaster,tt7518786,162.0,Dec,7.5,42088.0
94,100,101,Bol Bachchan,1750000000,1030000000,1440000000,300000000,650000000,Hit,tt1728986,155.0,Jul,5.6,10213.0
95,101,102,Raid,1540000000,1030000000,1320000000,220000000,350000000,SuperHit,tt7363076,122.0,Mar,7.4,19739.0
96,102,103,2 States,1730000000,1020000000,1420000000,300000000,500000000,SuperHit,tt2372678,149.0,Apr,6.9,27443.0
97,103,104,Grand Masti,1450000000,1020000000,1300000000,140000000,350000000,SuperHit,tt2476154,137.0,Sep,4.5,6781.0
98,104,105,Race 2,1620000000,1010000000,1310000000,300000000,850000000,Hit,tt1375789,150.0,Jan,5.3,17840.0
99,105,106,Singham,1510000000,1000000000,1300000000,200000000,520000000,SuperHit,tt1948150,143.0,Jul,6.8,19776.0
100,106,107,Shivaay,1470000000,1000000000,1380000000,80000000,1000000000,Below Average,tt3771536,153.0,Oct,6.1,11451.0
101,107,108,Batla House,1270000000,990000000,1160000000,110000000,500000000,Hit,tt8869978,146.0,Aug,7.2,12797.0
102,108,109,Zero,1780000000,960000000,1200000000,570000000,2000000000,Disaster,tt6527426,164.0,Dec,5.2,30846.0
103,109,110,Welcome Back,1680000000,960000000,1300000000,380000000,900000000,Average,tt3159708,152.0,Sep,4.3,7003.0
104,110,111,Baaghi 3,1370000000,960000000,1140000000,230000000,1000000000,Below Average,tt8366590,143.0,Mar,2.2,14498.0
105,111,112,Baby,1420000000,950000000,1290000000,130000000,590000000,Hit,tt3848892,159.0,Jan,7.9,61330.0
106,112,113,Manikarnika: The Queen of Jhansi,1420000000,940000000,1160000000,250000000,1010000000,Average,tt6903440,148.0,Jan,6.4,16368.0
107,113,114,Luka Chuppi,1280000000,940000000,1110000000,170000000,200000000,SuperHit,tt8908002,126.0,Mar,6.4,13744.0
108,114,115,Raajneeti,1450000000,930000000,1260000000,190000000,600000000,SuperHit,tt1291465,163.0,Jun,7.1,19414.0
109,115,116,Talaash,1750000000,930000000,1210000000,530000000,600000000,Hit,tt0244366,139.0,Jan,7.8,42.0
110,116,117,Satyameva Jayate,1210000000,900000000,1160000000,50000000,450000000,Hit,tt8202612,140.0,Aug,5.7,8045.0
111,117,118,Bholaa,1230000000,900000000,1080000000,150000000,1000000000,Average,tt15302222,144.0,Mar,5.8,23138.0
112,118,119,Singh Is Bliing,1460000000,900000000,1200000000,260000000,760000000,Average,tt3696192,141.0,Oct,5.0,9341.0
113,119,120,Zindagi Na Milegi Dobara,1530000000,890000000,1210000000,310000000,550000000,Hit,tt1562872,155.0,Jul,8.2,90304.0
114,120,121,Badla,1400000000,880000000,1040000000,360000000,200000000,SuperHit,tt8130968,118.0,Mar,7.7,31751.0
115,121,122,Gabbar is Back,1350000000,870000000,1180000000,170000000,720000000,Hit,tt2424988,128.0,May,7.0,27056.0
116,122,123,Rab Ne Bana Di Jodi,1510000000,850000000,1140000000,360000000,350000000,Blockbuster,tt1182937,167.0,Dec,7.2,55483.0
117,123,124,Kantara,4070000000,840000000,3630000000,440000000,160000000,All Time Blockbuster,tt15327088,148.0,Sep,8.2,107859.0
118,124,125,Kalank,1460000000,840000000,990000000,470000000,1500000000,Flop,tt6988116,166.0,Apr,3.7,17438.0
119,125,126,Pati Patni Aur Woh,1090000000,840000000,990000000,100000000,400000000,Hit,tt9680136,126.0,Dec,5.8,8714.0
120,127,128,Fan,1820000000,840000000,1130000000,690000000,850000000,Average,tt3495026,142.0,Apr,6.8,50180.0
121,128,129,My Name Is Khan,2240000000,820000000,1110000000,1120000000,850000000,Hit,tt1188996,165.0,Feb,7.9,118527.0
122,129,130,Brothers,1400000000,820000000,1140000000,250000000,1050000000,Average,tt0765010,105.0,Dec,7.1,161939.0
123,131,132,Oh My God,1490000000,810000000,1090000000,400000000,200000000,Blockbuster,tt1326954,93.0,Aug,6.1,479.0
124,132,133,Veere Di Wedding,1400000000,810000000,1050000000,350000000,300000000,SuperHit,tt5842616,135.0,Jun,3.3,13446.0
125,133,134,Sairat,1100000000,800000000,1040000000,60000000,40000000,Blockbuster,tt5312232,174.0,Apr,8.3,14965.0
126,134,135,Dhoom 2,1470000000,800000000,1090000000,380000000,350000000,Blockbuster,tt0441048,152.0,Nov,6.6,30727.0
127,135,136,Fukrey Returns,1120000000,800000000,1080000000,40000000,220000000,SuperHit,tt6712014,141.0,Dec,6.5,6565.0
128,136,137,The Dirty Picture,1160000000,790000000,1070000000,80000000,280000000,SuperHit,tt1954206,145.0,Dec,6.6,10914.0
129,137,138,Piku,1410000000,790000000,1070000000,340000000,400000000,Hit,tt3767372,123.0,May,7.6,34859.0
130,138,139,Sui Dhaaga - Made In India,1240000000,790000000,1000000000,240000000,400000000,Hit,tt7147540,122.0,Sep,6.8,9425.0
131,139,140,Vikram Vedha,1350000000,780000000,930000000,420000000,1500000000,Below Average,tt6148156,147.0,Jul,8.2,52192.0
132,140,141,Gunday,1300000000,780000000,1060000000,240000000,510000000,Hit,tt2574698,152.0,Feb,2.7,60794.0
133,141,142,Om Shanti Om,1480000000,780000000,1050000000,420000000,380000000,Blockbuster,tt1024943,162.0,Nov,6.8,53044.0
134,142,143,Baadshaho,1230000000,780000000,1080000000,150000000,850000000,Flop,tt4906960,136.0,Sep,4.9,5425.0
135,143,144,Aashiqui 2,1090000000,780000000,1050000000,30000000,150000000,Blockbuster,tt2203308,132.0,Apr,7.1,34592.0
136,144,145,Dil Dhadakne Do,1500000000,760000000,1060000000,430000000,830000000,Below Average,tt4110568,170.0,Jun,7.0,20475.0
137,145,146,Humpty Sharma Ki Dulhania,1190000000,760000000,1060000000,120000000,330000000,Hit,tt3678938,133.0,Jul,6.0,14387.0
138,146,147,Gadar: Ek Prem Katha,1320000000,760000000,1270000000,50000000,180000000,All Time Blockbuster,tt0284137,170.0,Jun,7.3,15902.0
139,147,148,Baaghi,1250000000,760000000,1020000000,230000000,370000000,Hit,tt4864932,133.0,Apr,5.3,10859.0
140,148,149,Housefull,1190000000,750000000,1020000000,160000000,450000000,SuperHit,tt1573072,144.0,Apr,5.6,16434.0
141,149,150,Neerja,1200000000,750000000,1010000000,180000000,250000000,SuperHit,tt5286444,122.0,Feb,7.6,24024.0
142,150,151,Lage Raho Munna Bhai,1240000000,740000000,1000000000,240000000,220000000,Blockbuster,tt0456144,144.0,Sep,8.0,51250.0
143,151,152,Ram Setu,960000000,740000000,890000000,70000000,1500000000,Below Average,tt11783766,140.0,Oct,5.3,18106.0
144,152,153,Andhadhun,4380000000,740000000,950000000,3430000000,170000000,SuperHit,tt8108198,139.0,Oct,8.2,106085.0
145,153,154,Dhadak,1130000000,740000000,950000000,180000000,300000000,Hit,tt7638344,138.0,Jul,4.6,10635.0
146,154,155,Street Dancer 3D,1020000000,730000000,870000000,150000000,1000000000,Below Average,tt9648672,146.0,Jan,3.7,8398.0
147,155,156,Kapoor & Sons,1430000000,730000000,980000000,440000000,350000000,Hit,tt4900716,132.0,Mar,7.7,28920.0
148,156,157,Hum Aapke Hain Koun..!,1280000000,720000000,1170000000,110000000,60000000,All Time Blockbuster,tt0110076,206.0,Aug,7.5,23002.0
149,157,158,Entertainment,1040000000,720000000,970000000,60000000,800000000,Flop,tt3343784,103.0,Nov,5.7,3301.0
150,158,159,Krrish,1210000000,710000000,1000000000,200000000,350000000,Blockbuster,tt0432637,154.0,Jun,6.5,25787.0
151,159,160,Cocktail,1210000000,710000000,960000000,250000000,450000000,Hit,tt0094889,104.0,Jul,5.9,94846.0
152,160,161,Student Of The Year 2,950000000,700000000,840000000,110000000,750000000,Below Average,tt7255568,146.0,May,2.2,22907.0
153,161,162,Khiladi 786,970000000,700000000,940000000,20000000,350000000,SuperHit,tt2166214,141.0,Dec,4.4,8030.0
154,162,163,Welcome,1190000000,700000000,940000000,240000000,480000000,SuperHit,tt0488798,150.0,Dec,7.1,27760.0
155,163,164,Dishoom,1190000000,700000000,940000000,250000000,550000000,Average,tt3679060,124.0,Jul,5.2,9293.0
156,164,165,Student Of The Year,960000000,700000000,920000000,40000000,590000000,Hit,tt2172071,146.0,Oct,5.3,21281.0
157,165,166,Raaz 3,990000000,690000000,940000000,40000000,280000000,SuperHit,tt2140315,139.0,Sep,4.2,4164.0
158,166,167,Hindi Medium,3340000000,690000000,960000000,2370000000,230000000,SuperHit,tt5764096,132.0,May,7.8,33005.0
159,167,168,Bhediya,960000000,680000000,810000000,150000000,600000000,Average,tt14099334,156.0,Nov,6.7,26585.0
160,168,169,Kedarnath,960000000,680000000,850000000,110000000,500000000,Hit,tt7027278,116.0,Dec,6.8,15499.0
161,169,170,Dear Zindagi,1360000000,680000000,920000000,430000000,300000000,Hit,tt5946128,151.0,Nov,7.4,45172.0
162,172,173,Tamasha,1360000000,670000000,870000000,490000000,870000000,Flop,tt3148502,139.0,Nov,7.4,33263.0
163,173,174,Drishyam,1100000000,670000000,900000000,190000000,480000000,Hit,tt4430212,163.0,Jul,8.2,100740.0
164,174,175,Special 26,1030000000,660000000,900000000,120000000,450000000,Hit,tt2377938,144.0,Feb,8.0,60965.0
165,175,176,Love Aaj Kal,1170000000,660000000,860000000,310000000,500000000,Hit,tt1275863,128.0,Jul,6.8,17340.0
166,175,176,Love Aaj Kal,1170000000,660000000,860000000,310000000,500000000,Hit,tt1275863,128.0,Jul,6.8,17340.0
167,176,177,Article 15,940000000,660000000,790000000,150000000,250000000,SuperHit,tt10324144,130.0,Jun,8.1,38070.0
168,177,178,R... Rajkumar,1000000000,650000000,880000000,110000000,560000000,Average,tt2369154,146.0,Dec,5.3,6998.0
169,178,179,Samrat Prithviraj,850000000,650000000,770000000,80000000,2200000000,Disaster,tt9637132,135.0,Jun,5.6,53617.0
170,179,180,Parmanu The Story Of Pokhran,910000000,650000000,840000000,70000000,450000000,Hit,tt6826438,129.0,May,7.6,25431.0
171,180,181,Pink,1040000000,650000000,880000000,150000000,230000000,Hit,tt5571734,136.0,Sep,8.0,49994.0
173,182,183,Pyaar Ka Punchnama 2,880000000,640000000,860000000,10000000,220000000,SuperHit,tt4430136,137.0,Oct,7.2,16288.0
174,183,184,Ajab Prem Ki Ghazab Kahani,1010000000,640000000,830000000,180000000,250000000,SuperHit,tt1252596,150.0,Nov,6.4,17304.0
175,184,185,Satyagraha,910000000,630000000,860000000,40000000,600000000,Average,tt2275802,152.0,Aug,5.9,5492.0
176,185,186,Humshakals,1030000000,630000000,850000000,170000000,640000000,Below Average,tt3036740,159.0,Jun,1.7,8918.0
177,186,187,Secret Superstar,9120000000,630000000,810000000,8310000000,150000000,SuperHit,tt6108090,150.0,Oct,7.8,30247.0
178,187,188,Taare Zameen Par,980000000,620000000,830000000,150000000,120000000,SuperHit,tt13300004,165.0,Nov,7.0,50.0
179,188,189,Shubh Mangal Zyada Saavdhan,830000000,620000000,730000000,100000000,350000000,Average,tt10309906,117.0,Feb,5.8,10775.0
180,189,190,Rockstar,1080000000,610000000,830000000,250000000,600000000,Average,tt1839596,159.0,Nov,7.8,52278.0
181,190,191,Laal Singh Chaddha,1330000000,610000000,720000000,610000000,1800000000,Disaster,tt10028196,159.0,Aug,5.6,178736.0
182,192,193,Tees Maar Khan,1000000000,600000000,820000000,170000000,350000000,Hit,tt1572311,135.0,Dec,2.8,15177.0
183,193,194,Queen,930000000,600000000,820000000,100000000,200000000,SuperHit,tt3322420,146.0,Mar,8.1,69745.0
184,194,195,Wanted,870000000,600000000,810000000,50000000,500000000,Hit,tt0493464,110.0,Jun,6.7,419720.0
185,195,196,Race,1030000000,600000000,840000000,180000000,450000000,Hit,tt3499096,134.0,Feb,7.1,42925.0
186,196,197,Udta Punjab,970000000,600000000,830000000,130000000,470000000,Hit,tt4434004,148.0,Jun,7.7,32640.0
187,197,198,Half Girlfriend,970000000,600000000,810000000,160000000,580000000,Average,tt5474042,135.0,May,4.6,8080.0
188,198,199,Befikre,990000000,600000000,830000000,150000000,640000000,Below Average,tt5108476,130.0,Dec,4.1,8429.0
189,199,200,Raanjhanaa,930000000,600000000,810000000,120000000,300000000,Hit,tt2359810,140.0,Jun,7.6,36287.0
190,200,201,Partner,990000000,600000000,830000000,160000000,280000000,SuperHit,tt0807758,155.0,Jul,5.8,13894.0
191,201,202,Besharam,950000000,590000000,800000000,140000000,830000000,Flop,tt2576450,143.0,Oct,3.5,6212.0
192,202,203,Malang,800000000,590000000,700000000,100000000,500000000,Above Average,tt9877170,135.0,Feb,6.5,12488.0
193,203,204,Shootout at Wadala,830000000,580000000,790000000,40000000,450000000,Above Average,tt2301155,155.0,May,6.0,7716.0
194,204,205,Mere Brother Ki Dulhan,940000000,580000000,780000000,150000000,280000000,Hit,tt1740710,139.0,Sep,5.9,10456.0
195,205,206,Mohenjo Daro,1070000000,580000000,780000000,290000000,1200000000,Flop,tt3859980,155.0,Aug,5.6,12973.0
196,206,207,Action Jackson,880000000,570000000,780000000,100000000,800000000,Flop,tt0094612,96.0,Feb,5.6,13166.0
197,207,208,Mary Kom,910000000,560000000,760000000,150000000,300000000,Hit,tt3001638,122.0,Sep,6.8,11577.0
198,208,209,Haider,790000000,550000000,750000000,30000000,450000000,Above Average,tt3390572,160.0,Oct,8.0,58694.0
199,209,210,Jodhaa Akbar,1060000000,550000000,750000000,310000000,450000000,Above Average,tt0449994,213.0,Feb,7.5,35826.0
200,210,211,Mubarakan,930000000,550000000,760000000,160000000,630000000,Flop,tt6272828,156.0,Jul,5.6,4415.0
201,211,212,Once Upon a Time in Mumbaai,850000000,550000000,740000000,100000000,360000000,Hit,tt1395054,134.0,Jul,7.4,19291.0
202,212,213,Jaane Tu... Ya Jaane Na,820000000,550000000,740000000,70000000,150000000,SuperHit,tt0473367,155.0,Jul,7.4,28752.0
203,213,214,Yamla Pagla Deewana,880000000,550000000,740000000,140000000,280000000,Hit,tt1773109,163.0,Jan,5.7,4770.0
204,214,215,Kabhi Khushi Kabhie Gham,1190000000,540000000,770000000,420000000,400000000,Blockbuster,tt0248126,210.0,Dec,7.4,58366.0
205,215,216,Boss,840000000,540000000,730000000,110000000,700000000,Flop,tt1833285,1.0,Oct,8.1,18676.0
206,216,217,Phantom,840000000,540000000,730000000,110000000,700000000,Flop,tt1922685,98.0,Mar,5.9,15360.0
207,217,218,Jagga Jasoos,830000000,540000000,750000000,80000000,1250000000,Flop,tt4129428,161.0,Jul,6.4,12084.0
208,218,219,Dilwale Dulhania Le Jayenge,1020000000,530000000,890000000,130000000,40000000,All Time Blockbuster,tt0112870,181.0,Oct,8.0,80809.0
209,219,220,Rang De Basanti,960000000,520000000,740000000,220000000,280000000,Hit,tt0405508,167.0,Jan,8.1,123635.0
210,220,221,Heropanti,750000000,520000000,710000000,40000000,250000000,Hit,tt3142232,146.0,May,5.2,11092.0
211,221,222,Ki & Ka,990000000,520000000,700000000,280000000,300000000,Hit,tt3679040,145.0,Apr,4.0,41238.0
