Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Kismat Konnection,tt1105733,153.0,Jul,5.3,6195.0
1920 - Evil Returns,tt2222550,124.0,Nov,4.9,2425.0
Mere Baap Pehle Aap,tt1170404,163.0,Jun,5.5,2659.0
Joker,tt7286456,122.0,Oct,8.3,1619842.0
Murder 3,tt2429640,124.0,Feb,5.0,2892.0
Ek Ladki Ko Dekha Toh Aisa Laga,tt8108164,120.0,Feb,5.6,4862.0
Mrs Chatterjee Vs Norway,tt14295590,144.0,Mar,7.3,10512.0
Chandigarh Kare Aashiqui,tt12861850,117.0,Dec,6.7,15493.0
Saawariya,tt0758053,142.0,Nov,5.2,8510.0
Shamitabh,tt3836958,155.0,Feb,6.7,7992.0
Taal,tt0152836,179.0,Aug,6.6,6112.0
Aurangzeb,tt2804026,137.0,May,6.4,4522.0
Rocketry: The Nambi Effect,tt9263550,157.0,Jul,8.7,60208.0
Happy Phirr Bhag Jayegi,tt7881542,136.0,Aug,4.5,1518.0
Roohi,tt10098288,134.0,Mar,4.3,11171.0
Apne,tt0814014,173.0,Jun,6.1,3610.0
Black Adam,tt6443346,125.0,Oct,6.2,292391.0
Jurassic World: Dominion,tt8041270,147.0,Jun,5.6,230644.0
"Saheb, Biwi Aur Gangster Returns",tt2362778,142.0,Mar,6.7,4184.0
Black Panther: Wakanda Forever,tt9114286,161.0,Nov,6.6,333961.0
Nautanki Saala,tt2341766,119.0,Apr,5.8,4509.0
Pyaar To Hona Hi Tha,tt0173081,156.0,Jul,6.6,3704.0
Heropanti 2,tt11873440,145.0,Apr,2.3,27743.0
Hum Tum,tt0378072,143.0,May,7.0,15331.0
Raaz,tt0307873,151.0,Feb,6.6,4280.0
Soldier,tt0120157,99.0,Oct,6.1,61551.0
Mulk,tt7618184,140.0,Aug,7.2,21854.0
Baghban,tt0337578,181.0,Oct,7.4,17875.0
Luck,tt7214954,105.0,Aug,6.4,33032.0
Rangoon,tt4909752,170.0,Feb,5.6,5132.0
U Me Aur Hum,tt1039995,156.0,Apr,5.8,2700.0
A Gentleman,tt5613834,145.0,Aug,6.3,7723.0
Newton,tt6484982,106.0,Sep,7.6,21546.0
Jersey,tt8948790,157.0,Apr,8.5,24116.0
Life Partner,tt1229366,138.0,Aug,5.3,1452.0
Blackmail,tt6972140,138.0,Apr,7.2,12638.0
Rangeela,tt0114234,142.0,Sep,7.4,10707.0
Karwaan,tt7919680,114.0,Aug,7.6,18343.0
The Ghazi Attack,tt6299040,116.0,Feb,7.5,14926.0
Dil Chahta Hai,tt0292490,183.0,Aug,8.1,76921.0
Rocket Singh: Salesman of the Year,tt1434447,150.0,Dec,7.5,22603.0
Kaante,tt0294662,150.0,Dec,6.6,5585.0
Masti,tt0406977,166.0,Apr,6.2,7142.0
Waqt: The Race Against Time,tt0390614,153.0,Apr,6.7,10237.0
The Accidental Prime Minister,tt6986710,112.0,Jan,6.0,8237.0
The Sky Is Pink,tt8902990,143.0,Oct,7.6,10002.0
Kidnap,tt1458169,95.0,Aug,5.9,40323.0
Raja,tt0114230,168.0,,5.0,1055.0
The Lunchbox,tt2350496,104.0,Sep,7.8,62347.0
Sunday,tt1039989,135.0,Jan,5.5,3000.0
Hulchul,tt0437238,149.0,Nov,7.0,9583.0
Tere Naal Love Ho Gaya,tt2130242,130.0,Feb,5.9,4644.0
Badhaai Do,tt11934846,147.0,Feb,7.0,21663.0
Krazzy 4,tt1182908,110.0,Apr,4.2,2344.0
Chance Pe Dance,tt1392744,122.0,Jan,4.8,3124.0
Agni Sakshi,tt0115484,142.0,Mar,6.2,793.0
Radhe Shyam,tt8960382,138.0,Mar,5.2,32479.0
Ungli,tt2392447,114.0,Nov,5.8,4242.0
Fitoor,tt4399594,131.0,Feb,5.4,5417.0
Chalte Chalte,tt0346723,167.0,Jun,6.5,16993.0
Alone,tt7711170,98.0,Sep,6.2,31488.0
Lipstick Under My Burkha,tt4807830,117.0,Sep,6.8,7413.0
Te3n,tt4814290,136.0,Jun,7.2,13995.0
Dolly Ki Doli,tt4332114,98.0,Jan,4.6,3228.0
Bade Miyan Chote Miyan,tt18072316,163.0,Apr,3.8,38814.0
Barsaat,tt0112459,166.0,Oct,5.6,1441.0
Kaal,tt0415908,126.0,Apr,4.7,6140.0
Dulhan Hum Le Jayenge,tt0247992,158.0,Jan,5.1,3946.0
Jabariya Jodi,tt8785426,125.0,Aug,4.0,1862.0
Sarfarosh,tt0200087,174.0,Apr,8.1,27563.0
Jodi No.1,tt3425064,135.0,Mar,,5.0
Liger,tt4435072,140.0,Aug,2.6,48069.0
Chori Chori Chupke Chupke,tt0256692,165.0,Mar,5.5,5416.0
Madaari,tt5713232,133.0,Jul,7.6,15363.0
Ziddi,tt0120551,170.0,Apr,5.9,1838.0
Bluffmaster!,tt0476527,137.0,Dec,6.6,6831.0
Gupt: The Hidden Truth,tt0119239,173.0,Aug,7.3,5802.0
Pyaar Kiya To Darna Kya,tt0173080,162.0,Mar,6.6,6131.0
Jayeshbhai Jordaar,tt10393870,121.0,May,6.0,44134.0
Begum Jaan,tt5785116,128.0,Apr,5.6,3018.0
Josh,tt0151150,162.0,Jun,6.1,11238.0
Fool n Final,tt0493417,144.0,Jun,3.6,2339.0
Main Prem Ki Diwani Hoon,tt0265148,197.0,Jun,3.8,5213.0
Creature,tt0088961,95.0,Mar,4.4,4822.0
Break Ke Baad,tt1578261,118.0,Nov,5.2,4641.0
Aankhen,tt0306434,165.0,Apr,7.4,14157.0
7 Khoon Maaf,tt1629376,137.0,Feb,6.3,6837.0
Qayamat: City Under Threat,tt0364621,180.0,Jul,4.8,2599.0
Attack - Part 1,tt21363292,,Jan,,8.0
Laaga Chunari Mein Daag,tt0985636,122.0,Oct,5.4,2746.0
Simran,tt6405126,124.0,Sep,5.2,4559.0
Baabul,tt0419468,169.0,Dec,5.4,3656.0
Mujhe Kucch Kehna Hai,tt0284328,135.0,May,4.8,1297.0
Cheeni Kum,tt0976026,140.0,May,6.8,5730.0
Band Baaja Baaraat,tt1610452,139.0,Dec,7.2,18508.0
Ajnabee,tt0278291,165.0,Sep,6.3,9306.0
Selfiee,tt15516726,148.0,Feb,5.7,13845.0
Aiyaary,tt6774212,157.0,Feb,5.3,5298.0
Refugee,tt0250690,207.0,Jun,5.2,2199.0
Bombay Talkies,tt2797242,127.0,May,6.6,5842.0
Hero No. 1,tt0119285,134.0,Feb,6.3,3512.0
Section 375,tt8144834,124.0,Sep,8.1,18621.0
Bewafaa,tt0363472,151.0,Feb,4.1,2647.0
Hum Aapke Dil Mein Rehte Hain,tt0189592,168.0,Jan,5.5,1838.0
Qarib Qarib Singlle,tt10944632,4.0,Feb,7.4,9.0
Yuvvraaj,tt1105747,151.0,Nov,4.1,4773.0
Do Knot Disturb,tt1343362,126.0,Oct,3.7,1288.0
Parineeta,tt0437407,130.0,Jun,7.2,9716.0
Mumbai Saga,tt10483386,135.0,Mar,5.8,9991.0
Jeet,tt0116690,180.0,Aug,5.8,2730.0
Humraaz,tt0326576,173.0,Jul,6.4,3927.0
The Tashkent Files,tt8108268,134.0,Apr,8.1,36304.0
Awara Paagal Deewana,tt0319020,158.0,Jun,6.3,9622.0
Kachche Dhaage,tt0206067,144.0,Feb,6.0,1763.0
Swades,tt0367110,189.0,Dec,8.2,100779.0
1921,tt6958030,144.0,Jan,4.3,1552.0
Andaaz,tt0346507,145.0,May,5.2,2791.0
All Is Well,tt3547616,126.0,Aug,3.6,1707.0
Dhol,tt0995035,145.0,Sep,6.5,8030.0
Lajja,tt0293342,202.0,Aug,6.6,2927.0
Life in a Metro,tt0800956,132.0,May,7.4,13242.0
Aitraaz,tt0418460,160.0,Nov,6.6,11066.0
Kyaa Kool Hai Hum,tt0456500,172.0,May,6.1,3997.0
Sholay,tt0073707,162.0,Aug,8.1,60568.0
1920 London,tt5638500,120.0,May,4.2,2047.0
8 x 10 Tasveer,tt1105709,122.0,Apr,5.4,6235.0
Apaharan,tt0451631,173.0,Dec,7.4,5304.0
Tezz,tt1706317,121.0,Apr,4.1,2652.0
Har Dil Jo Pyar Karega,tt0250415,173.0,Aug,5.1,4939.0
Guardians of the Galaxy Vol. 3,tt6791350,150.0,May,7.9,437309.0
Badal,tt0247944,166.0,Feb,5.0,1563.0
Deewane Huye Paagal,tt0444781,158.0,Nov,5.6,6056.0
Tere Naam,tt11047176,160.0,Jun,,5.0
Dev.D,tt1327035,144.0,Feb,7.9,32649.0
Saathiya,tt0330843,138.0,Dec,6.8,7905.0
Ghatak,tt4771744,135.0,,7.3,170.0
Mela,tt0232079,172.0,Jan,3.7,5046.0
Zanjeer,tt0070947,145.0,May,7.5,4267.0
Haseena Maan Jaayegi,tt0267548,147.0,Jun,6.3,3772.0
Murder,tt3402236,114.0,Nov,6.5,312718.0
Baadshah,tt0211934,175.0,Aug,6.9,20759.0
Koyla,tt0136352,166.0,Apr,6.2,10031.0
Jhund,tt8983228,176.0,Mar,7.4,25921.0
Freaky Ali,tt5943306,120.0,Sep,5.0,3032.0
Hamara Dil Aapke Paas Hai,tt0255212,165.0,Aug,5.5,2086.0
Fiza,tt0248012,170.0,Sep,6.0,4541.0
Gulaab Gang,tt2573750,139.0,Mar,6.0,2237.0
Khiladiyon Ka Khiladi,tt0246729,162.0,Jun,6.0,6268.0
Maine Pyar Kiya,tt0100095,192.0,Dec,7.3,13289.0
Bhoot,tt0341266,113.0,May,6.4,4215.0
Apna Sapna Money Money,tt0493437,134.0,Nov,5.4,2347.0
Humko Deewana Kar Gaye,tt0444840,155.0,Apr,5.2,4430.0
Satyameva Jayate 2,tt10739666,138.0,Nov,3.4,16217.0
Yuva,tt0382383,161.0,May,7.3,9490.0
Satya,tt0195231,170.0,Jul,8.3,17207.0
Teraa Surroor,tt5056470,106.0,Mar,2.7,981.0
Dhadkan,tt0255111,161.0,Aug,6.5,8272.0
Hindustan Ki Kasam,tt0207513,146.0,Jul,3.5,695.0
Bewakoofiyaan,tt3483646,119.0,Mar,5.5,4611.0
Judaai,tt0119427,167.0,Feb,6.1,2972.0
Bandit Queen,tt0109206,119.0,Jun,7.5,5448.0
Hum Tumhare Hain Sanam,tt0222024,174.0,May,5.4,7428.0
Ant-Man and the Wasp: Quantumania,tt10954600,124.0,Feb,6.0,252231.0
Dhan Dhana Dhan Goal,tt1120897,167.0,Nov,5.1,2919.0
Great Grand Masti,tt4675030,134.0,Jul,3.7,3313.0
Saajan Chale Sasural,tt0246905,134.0,Apr,5.9,1619.0
Company,tt0296574,142.0,Apr,8.0,16374.0
Chup Chup Ke,tt0464160,164.0,Jun,7.0,13541.0
Aankhen,tt0306434,165.0,Apr,7.4,14157.0
Deewana Mastana,tt0118957,140.0,Sep,6.7,2915.0
Hunterrr,tt4333674,141.0,Mar,7.0,6877.0
Hate Story,tt2309987,140.0,Apr,5.3,4067.0
Babumoshai Bandookbaaz,tt6711660,122.0,Aug,6.9,2564.0
Ghulam,tt0190419,162.0,Jun,7.2,12337.0
India's Most Wanted,tt8484942,123.0,May,4.7,2390.0
Bbuddah...Hoga Terra Baap,tt1869296,114.0,Jul,5.6,3053.0
Maa Tujhhe Salaam,tt0307116,162.0,Jan,3.7,1351.0
Judwaa,tt0119428,138.0,Feb,6.1,7378.0
Paheli,tt0451850,140.0,Jun,6.4,14491.0
Shaadi Mein Zaroor Aana,tt7469726,137.0,Nov,7.5,18042.0
Major Saab,tt0172761,165.0,Jun,5.3,2358.0
Major,tt9851854,150.0,Jun,8.1,33557.0
Ujda Chaman,tt11046300,120.0,Nov,6.9,5699.0
Phone Bhoot,tt12740760,136.0,Nov,5.2,11061.0
Mujhse Dosti Karoge!,tt0272736,149.0,Aug,5.1,6699.0
China Gate,tt0210609,175.0,Nov,6.6,1933.0
Halla Bol,tt0892874,142.0,Jan,6.0,2431.0
Dulhe Raja,tt0210659,143.0,Jul,6.8,3400.0
Kyon Ki,tt0451787,160.0,Nov,5.5,5015.0
Gangster,tt0495032,123.0,Apr,7.2,6816.0
Coolie No. 1,tt10280276,134.0,Dec,4.2,74392.0
Manjhi - The Mountain Man,tt3449292,120.0,Aug,8.0,20272.0
God Tussi Great Ho,tt0476550,152.0,Aug,3.7,5074.0
Heroes,tt0813715,45.0,Sep,7.5,257154.0
Hungama,tt0371735,153.0,Aug,7.6,17227.0
Hera Pheri,tt0242519,156.0,Mar,8.2,75076.0
Made In China,tt8983180,128.0,Oct,6.2,5128.0
Mere Dad Ki Maruti,tt2323964,101.0,Mar,6.4,4953.0
Kya Kehna,tt0250483,155.0,May,5.8,2341.0
Mohra,tt0110546,177.0,Jul,7.0,8828.0
Khalnayak,tt0107311,190.0,Jun,7.1,3897.0
Bandhan,tt0273452,154.0,Oct,4.8,2229.0
Bunty Aur Babli 2,tt10569922,138.0,Nov,4.1,4429.0
Paan Singh Tomar,tt1620933,135.0,Mar,8.2,38555.0
Yamla Pagla Deewana Phir Se,tt7609114,145.0,Aug,4.4,1400.0
Fanney Khan,tt6384386,130.0,Aug,4.5,2372.0
Pyare Mohan,tt0461323,130.0,Apr,3.4,994.0
Chup,tt15654262,135.0,Sep,7.5,25872.0
Ek Aur Ek Gyarah,tt0359213,153.0,Dec,6.4,61.0
Ab Tumhare Hawale Watan Saathiyo,tt0397882,193.0,Dec,4.5,1850.0
Bobby Jasoos,tt3359290,121.0,Jul,5.5,2456.0
Chal Mere Bhai,tt0245825,136.0,May,4.7,3765.0
Beta,tt0101437,171.0,Apr,6.2,2495.0
A Wednesday!,tt1280558,104.0,Sep,8.1,84399.0
Loveyatri,tt9038930,3.0,Aug,4.0,130.0
Asoka,tt0249371,180.0,Oct,6.4,15508.0
Arjun Pandit,tt0278315,150.0,Aug,5.4,1091.0
Deewangee,tt0337971,169.0,Oct,6.5,3046.0
Vaastav: The Reality,tt0220832,145.0,Oct,8.0,15081.0
Chachi 420,tt0233422,155.0,Dec,7.4,13862.0
An Action Hero,tt15600222,130.0,Dec,7.0,32711.0
Poster Boys,tt6352548,128.0,Sep,5.4,1739.0
Daag: The Fire,tt0272062,152.0,Feb,4.8,796.0
Virasat,tt0120456,165.0,May,7.4,2965.0
Lucknow Central,tt5697870,133.0,Sep,6.2,3064.0
Yes Boss,tt0120540,163.0,Jul,6.7,14775.0
Hadh Kar Di Aapne,tt0244528,134.0,Apr,5.3,2197.0
Vikrant Rona,tt12015102,148.0,Jul,6.9,28938.0
Sye Raa Narasimha Reddy,tt7283064,167.0,Oct,7.2,8836.0
Kurukshetra,tt7968456,185.0,Aug,6.2,1667.0
Why Cheat India,tt8108208,121.0,Jan,6.1,3026.0
Darr,tt0109555,178.0,Dec,7.6,26141.0
Zameen,tt0382385,154.0,Sep,5.4,1722.0
Jaani Dushman: Ek Anokhi Kahani,tt0326983,170.0,Aug,2.7,4065.0
Jhootha Hi Sahi,tt1322257,142.0,Oct,6.2,2072.0
Table No. 21,tt2229842,108.0,Jan,7.2,14620.0
Guest iin London,tt6173826,132.0,Jul,5.4,2589.0
Jaanwar,tt0230347,172.0,Dec,5.9,3074.0
Dil Se..,tt0164538,163.0,Aug,7.5,32231.0
Kunwara,tt0253194,134.0,Jul,5.2,1129.0
Phir Bhi Dil Hai Hindustani,tt0222270,160.0,Jan,6.1,8841.0
Nayak: The Real Hero,tt0291376,187.0,Sep,7.8,18213.0
Tumko Na Bhool Paayenge,tt0310254,160.0,Feb,5.6,3415.0
Rock On 2,tt2137241,143.0,Nov,4.9,2314.0
Bichhoo,tt0252277,160.0,Jul,5.0,3185.0
John Wick: Chapter 4,tt10366206,169.0,Mar,7.6,386853.0
Hello Brother,tt0233856,139.0,Sep,4.7,4803.0
Gangaajal,tt0373856,157.0,Aug,7.8,18507.0
Wajah Tum Ho,tt5638474,136.0,Dec,4.4,1433.0
Albela,tt0118578,145.0,Apr,3.7,856.0
1920,tt1301698,143.0,Sep,6.4,4262.0
Paltan,tt7162758,150.0,Sep,5.2,1226.0
Revolver Rani,tt3290688,132.0,Apr,4.6,2012.0
Bheja Fry 2,tt1939654,129.0,Jun,4.8,1477.0
Vikram,tt9179430,175.0,Jun,8.3,79601.0
Firangi,tt7549484,158.0,Dec,4.3,1359.0
Angrezi Medium,tt8907986,145.0,Mar,7.2,18664.0
Saheb Biwi Aur Gangster,tt2073070,118.0,Sep,7.1,4429.0
Tumbbad,tt8239946,108.0,Oct,8.2,68697.0
Pataakha,tt8396128,134.0,Sep,7.2,4472.0
Anari No.1,tt0200435,169.0,Apr,5.1,726.0
Hogi Pyaar Ki Jeet,tt0281913,180.0,May,4.5,607.0
Shaadi Se Pehle,tt0489560,122.0,Apr,4.3,871.0
Fida,tt0422236,122.0,Aug,5.4,2922.0
Tera Jadoo Chal Gayaa,tt0250774,143.0,Aug,3.1,639.0
Ragini MMS,tt1890513,93.0,May,5.1,2893.0
Love Sex aur Dhokha,tt1608777,155.0,Mar,7.1,6310.0
Jaan,tt0151090,170.0,Mar,4.3,676.0
Phoonk,tt1267500,110.0,Aug,4.0,1422.0
Welcome to Sajjanpur,tt1221139,133.0,Sep,6.9,3372.0
Sabse Bada Khiladi,tt0114317,162.0,Jun,5.9,4655.0
Saajan,tt0102825,193.0,Aug,7.2,7579.0
Aap Mujhe Achche Lagne Lage,tt0247911,180.0,Apr,3.1,2798.0
Aan: Men at Work,tt0363409,149.0,Jun,5.8,3373.0
Aksar 2,tt5784860,127.0,Nov,3.6,499.0
Krantiveer,tt0110280,147.0,Jul,7.4,2323.0
Sanam Teri Kasam,tt5255710,154.0,Feb,7.6,21387.0
Diljale,tt0286593,159.0,Sep,5.8,1933.0
Ajay,tt0267252,146.0,Dec,4.1,263.0
Anek,tt13919802,147.0,May,6.4,22667.0
Julie,tt0049388,99.0,Oct,6.2,2260.0
Namaste England,tt7607940,141.0,Oct,2.1,3017.0
Pal Pal Dil Ke Paas,tt6978954,154.0,Sep,4.5,1329.0
Drona,tt11178862,157.0,Mar,6.9,59.0
Haan Maine Bhi Pyaar Kiya,tt0308347,174.0,Feb,3.6,1504.0
Bhai,tt0135161,147.0,Oct,5.3,516.0
International Khiladi,tt0196635,175.0,Mar,4.8,2450.0
HIT – The First Case,tt13130760,132.0,Jul,6.8,16943.0
Dil Kya Kare,tt0216707,158.0,Sep,5.1,1335.0
Banjo,tt5755606,137.0,Sep,5.0,1242.0
Bheja Fry,tt1014672,95.0,Apr,7.6,12357.0
Tujhe Meri Kasam,tt0348258,155.0,Jan,6.2,512.0
Arjun Patiala,tt7881524,107.0,Jul,4.3,1646.0
Guddu Rangeela,tt4684028,124.0,Jul,5.3,973.0
Dosti: Friends Forever,tt0449228,136.0,Dec,5.3,2758.0
Luv Shuv Tey Chicken Khurana,tt2186933,140.0,Nov,6.6,4074.0
Ghayal,tt0099652,163.0,Jun,7.7,5271.0
Saudagar,tt0102844,213.0,Aug,6.7,1656.0
Godfather,tt13130308,157.0,Oct,5.1,7912.0
Trimurti,tt0114726,187.0,Dec,4.8,3050.0
Khoobsurat,tt3554418,130.0,Sep,6.4,9288.0
Aksar,tt0476729,135.0,Feb,5.0,1431.0
Dhaai Akshar Prem Ke,tt0255112,167.0,Sep,3.5,1502.0
Shikara,tt10930586,118.0,Feb,3.4,15452.0
Sita Ramam,tt20850406,163.0,Aug,8.5,72333.0
B.A. Pass,tt2408040,95.0,Aug,6.4,4339.0
Mere Yaar Ki Shaadi Hai,tt0322653,158.0,Jun,5.5,2519.0
Welcome 2 Karachi,tt4023852,131.0,May,4.3,1396.0
Daddy,tt6926486,134.0,Sep,6.4,2202.0
Mard,tt0089552,177.0,Nov,6.2,2144.0
Raja Babu,tt0110942,161.0,Jan,6.4,3239.0
Jism,tt0348843,136.0,Jan,5.3,2387.0
Varisu,tt11998558,169.0,Jan,5.9,40315.0
Tango Charlie,tt0444913,142.0,Mar,6.1,2345.0
Main Khiladi Tu Anari,tt0110438,175.0,Sep,6.5,6558.0
Talaash: The Hunt Begins...,tt0338477,153.0,Jan,4.3,1613.0
Ram Gopal Varma Ki Aag,tt0473310,171.0,Aug,1.4,7144.0
Kyo Kii Main Jhuth Nahin Bolta,tt0297241,131.0,Sep,5.4,2670.0
Eternals,tt9032400,156.0,Nov,6.2,410197.0
Gumraah,tt11905536,130.0,Apr,6.5,6844.0
Ishq Vishk,tt0362771,134.0,May,6.1,4664.0
Yeh Raaste Hain Pyaar Ke,tt0292740,149.0,Aug,4.0,834.0
Tere Mere Sapne,tt0117878,146.0,Dec,6.2,548.0
Dus Kahaniyaan,tt0823451,110.0,Dec,5.7,1723.0
Kaalakaandi,tt6102396,112.0,Jan,6.2,3360.0
One Two Three,tt0055256,104.0,Dec,7.8,23993.0
Kya Yehi Pyaar Hai,tt0312883,145.0,Apr,4.2,543.0
777 Charlie,tt7466810,164.0,Jun,8.7,44002.0
Joru Ka Ghulam,tt0250452,169.0,Jun,5.1,1322.0
Jis Desh Mein Ganga Rehta Hain,tt0263491,141.0,Oct,4.9,1413.0
Road,tt1392190,120.0,May,8.1,1174439.0
IB 71,tt15073166,117.0,May,7.1,11208.0
Bank Chor,tt3611266,120.0,Jun,5.9,3185.0
The Legend of Bhagat Singh,tt0319736,155.0,Jun,8.1,17518.0
Baazigar,tt0106333,175.0,Nov,7.6,30511.0
Zeher,tt0451983,132.0,Mar,5.6,2333.0
Deewana,tt0126871,185.0,Jun,6.7,7630.0
Amar Akbar Anthony,tt0075669,184.0,May,7.4,8642.0
Godzilla vs. Kong,tt5034838,113.0,Mar,6.3,258054.0
Shang-Chi and the Legend of the Ten Rings,tt9376612,132.0,Sep,7.3,465502.0
Aap Ki Khatir,tt0810058,122.0,Aug,3.9,1005.0
Jaal: The Trap,tt0340178,142.0,Jul,4.4,626.0
Dil,tt0099429,172.0,Jun,6.6,5805.0
Knock Out,tt1558578,117.0,Oct,6.1,2401.0
Laadla,tt0187227,169.0,Mar,5.9,1470.0
Kalyug,tt0499041,126.0,Dec,6.5,3109.0
Chocolate,tt1183252,110.0,Feb,6.9,19020.0
Akele Hum Akele Tum,tt0112313,160.0,Nov,6.9,5730.0
Suhaag,tt0111308,145.0,Oct,5.8,2120.0
Khamoshi: The Musical,tt0116763,160.0,Aug,7.5,4744.0
Venom: Let There Be Carnage,tt7097896,97.0,Oct,5.9,291093.0
Goodbye,tt14438964,130.0,Oct,6.7,10252.0
Prassthanam,tt8706884,141.0,Sep,5.8,1693.0
Sapoot,tt0135641,158.0,Nov,5.2,1229.0
Jeena Sirf Merre Liye,tt0337652,137.0,Nov,3.9,874.0
Deewane,tt0255097,164.0,Aug,4.6,659.0
Armaan,tt0331851,158.0,May,5.3,1221.0
Sonchiriya,tt8108200,143.0,Mar,7.9,13166.0
Kahin Pyaar Na Ho Jaaye,tt0268401,159.0,Nov,4.4,2496.0
Sooryavansham,tt0214178,168.0,May,6.3,4068.0
Daraar,tt0116024,105.0,Jul,5.3,616.0
Army,tt0115568,153.0,Jun,4.4,1962.0
Vijaypath,tt0111625,163.0,Aug,5.0,809.0
Blank,tt31961473,,May,8.3,2558.0
Chef,tt2883512,114.0,May,7.3,239265.0
Calendar Girls,tt0337909,108.0,Jan,6.9,28384.0
Dilwale,tt4535650,158.0,Dec,5.1,39547.0
Maharaja,tt26548265,141.0,Jun,8.4,59983.0
Tezaab,tt0096252,173.0,Nov,6.9,2606.0
Haqeeqat,tt0154565,184.0,,7.9,542.0
Phool Aur Kaante,tt0254683,173.0,Nov,6.0,1668.0
Sadak,tt0156985,134.0,Dec,6.4,2900.0
Yeh Dil Aashiqanaa,tt0307682,152.0,Jan,4.4,359.0
Pyaar Impossible!,tt1351224,140.0,Jan,4.9,3481.0
Top Gun: Maverick,tt1745960,130.0,May,8.2,790467.0
Genius,tt1703957,104.0,Jun,6.5,22140.0
Sangharsh,tt0111068,127.0,Sep,6.7,5856.0
Jung,tt0289725,147.0,May,4.3,442.0
Rudraksh,tt0366985,143.0,Feb,2.8,1435.0
Kuttey,tt15281704,109.0,Jan,5.5,10982.0
Khiladi 420,tt0255305,157.0,Dec,5.2,2130.0
Do Lafzon Ki Kahani,tt4857886,128.0,Jun,6.5,1773.0
Vaah! Life Ho Toh Aisi!,tt0475645,153.0,Dec,4.7,2990.0
Hulchul,tt0437238,149.0,Nov,7.0,9583.0
Insaniyat,tt0110140,180.0,Mar,3.0,315.0
Anari,tt0052560,166.0,Jan,7.6,895.0
Aarzoo,tt0284811,175.0,Mar,5.0,1671.0
Noor,tt5775220,117.0,Apr,4.1,1600.0
Stanley Ka Dabba,tt1907761,96.0,May,7.8,7820.0
Masoom,tt0085913,165.0,Oct,8.4,4325.0
Yeh Dillagi,tt0111793,155.0,May,5.9,4803.0
Aflatoon,tt0225029,153.0,Dec,4.5,1473.0
Bobby,tt0308055,117.0,Nov,7.0,43129.0
Mr. India,tt0093578,179.0,May,7.7,17166.0
Mughal-e-Azam,tt0054098,197.0,Aug,8.1,9053.0
Dil Ka Rishta,tt0330217,150.0,Jan,4.9,1950.0
Rehnaa Hai Terre Dil Mein,tt0299108,160.0,Oct,7.5,9764.0
Bewafa Sanam,tt0439464,144.0,May,5.3,149.0
Yeh Hai Jalwa,tt0328671,165.0,Jul,4.8,2901.0
Sirf Tum,tt16087918,,Nov,8.0,98.0
Khichdi: The Movie,tt1738293,120.0,Oct,7.3,3149.0
Bangistan,tt3422462,135.0,Aug,4.5,1444.0
Style,tt0306855,157.0,Dec,6.7,2280.0
Aunty No. 1,tt0118654,160.0,May,4.3,712.0
Hum Hain Rahi Pyar Ke,tt0107166,163.0,Jul,7.3,6310.0
Lahu Ke Do Rang,tt0151285,139.0,Sep,5.6,120.0
Andaz Apna Apna,tt0109117,160.0,Nov,8.0,56036.0
Kyaa Dil Ne Kahaa,tt0327005,,Jun,2.9,314.0
Ravan Raaj: A True Story,tt0114236,153.0,Jun,6.1,154.0
Baazi,tt0121989,183.0,Apr,6.4,2639.0
Notebook,tt9105014,115.0,Mar,7.0,3288.0
Indu Sarkar,tt6620324,139.0,Jul,6.0,2283.0
Game Over,tt8914492,102.0,Jun,6.9,8486.0
Nil Battey Sannata,tt5005684,100.0,Apr,8.2,8232.0
The Zoya Factor,tt8304386,134.0,Sep,4.4,2733.0
Dobaaraa,tt14042066,132.0,Aug,4.9,21300.0
Dasara,tt15440322,156.0,Mar,6.6,11199.0
Elaan,tt0290183,146.0,Jan,5.1,947.0
Tutak Tutak Tutiya,tt6041458,138.0,Oct,5.5,849.0
Helicopter Eela,tt8427036,135.0,Oct,5.5,1301.0
Bol Radha Bol,tt0172188,164.0,Jul,6.1,924.0
Khuddar,tt0110254,167.0,Mar,5.4,450.0
Tum Bin - Love Will Find a Way,tt0290326,158.0,Jul,7.5,3884.0
Taarzan: The Wonder Car,tt0435437,163.0,Aug,4.8,5647.0
Junooniyat,tt3840534,155.0,Jun,4.1,1021.0
Shazam! Fury Of The Gods,tt10151854,130.0,Mar,5.9,139390.0
Khiladi,tt0104605,157.0,Jun,7.1,8596.0
Mother India,tt0050188,172.0,Oct,7.8,10012.0
Sanam Bewafa,tt0102835,160.0,Jan,5.2,1521.0
Chandni Bar,tt0267363,150.0,Sep,7.6,2842.0
Maidan-E-Jung,tt0267703,155.0,Apr,3.6,581.0
Dhaakad,tt10598156,135.0,May,3.8,12144.0
Kabzaa,tt11364772,134.0,Mar,4.7,15453.0
Nanu Ki Jaanu,tt7412738,133.0,Apr,5.4,1806.0
Jo Jeeta Wohi Sikander,tt16449766,,Dec,,
No Time To Die,tt2382320,163.0,Oct,7.3,468748.0
Sangam,tt0058547,238.0,Jun,7.3,1955.0
Zamane Se Kya Darna,tt0339936,172.0,Jan,5.8,90.0
Kaanchi...,tt3038772,151.0,Apr,4.2,696.0
Janhit Mein Jaari,tt13534808,146.0,Jun,6.8,8153.0
