Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Welcome Back,tt3159708,152.0,Sep,4.3,7003.0
Baaghi 3,tt8366590,143.0,Mar,2.2,14498.0
Baby,tt3848892,159.0,Jan,7.9,61330.0
Manikarnika: The Queen of Jhansi,tt6903440,148.0,Jan,6.4,16368.0
Luka Chuppi,tt8908002,126.0,Mar,6.4,13744.0
Raajneeti,tt1291465,163.0,Jun,7.1,19414.0
Talaash,tt0244366,,,7.8,42.0
Satyameva Jayate,tt8202612,140.0,Aug,5.7,8045.0
Bholaa,tt15302222,144.0,Mar,5.8,23138.0
Singh Is Bliing,tt3696192,141.0,Oct,5.0,9341.0
Zindagi Na Milegi Dobara,tt1562872,155.0,Jul,8.2,90304.0
Badla,tt8130968,118.0,Mar,7.7,31751.0
Gabbar is Back,tt2424988,128.0,May,7.0,27056.0
Rab Ne Bana Di Jodi,tt1182937,167.0,Dec,7.2,55483.0
Kantara,tt15327088,148.0,Sep,8.2,107859.0
Kalank,tt6988116,166.0,Apr,3.7,17438.0
Pati Patni Aur Woh,tt9680136,126.0,Dec,5.8,8714.0
Fan,tt3495026,142.0,Apr,6.8,50180.0
My Name Is Khan,tt1188996,165.0,Feb,7.9,118527.0
Brothers,tt0765010,105.0,Dec,7.1,161939.0
Oh My God,tt1326954,93.0,Aug,6.1,479.0
Veere Di Wedding,tt5842616,135.0,Jun,3.3,13446.0
Sairat,tt5312232,174.0,Apr,8.3,14965.0
Dhoom 2,tt0441048,152.0,Nov,6.6,30727.0
Fukrey Returns,tt6712014,141.0,Dec,6.5,6565.0
The Dirty Picture,tt1954206,145.0,Dec,6.6,10914.0
Piku,tt3767372,123.0,May,7.6,34859.0
Sui Dhaaga - Made In India,tt7147540,122.0,Sep,6.8,9425.0
Vikram Vedha,tt6148156,147.0,Jul,8.2,52192.0
Gunday,tt2574698,152.0,Feb,2.7,60794.0
Om Shanti Om,tt1024943,162.0,Nov,6.8,53044.0
Baadshaho,tt4906960,136.0,Sep,4.9,5425.0
Aashiqui 2,tt2203308,132.0,Apr,7.1,34592.0
Dil Dhadakne Do,tt4110568,170.0,Jun,7.0,20475.0
Humpty Sharma Ki Dulhania,tt3678938,133.0,Jul,6.0,14387.0
Gadar: Ek Prem Katha,tt0284137,170.0,Jun,7.3,15902.0
Baaghi,tt4864932,133.0,Apr,5.3,10859.0
Housefull,tt1573072,144.0,Apr,5.6,16434.0
Neerja,tt5286444,122.0,Feb,7.6,24024.0
Lage Raho Munna Bhai,tt0456144,144.0,Sep,8.0,51250.0
Ram Setu,tt11783766,140.0,Oct,5.3,18106.0
Andhadhun,tt8108198,139.0,Oct,8.2,106085.0
Dhadak,tt7638344,138.0,Jul,4.6,10635.0
Street Dancer 3D,tt9648672,146.0,Jan,3.7,8398.0
Kapoor & Sons,tt4900716,132.0,Mar,7.7,28920.0
Hum Aapke Hain Koun..!,tt0110076,206.0,Aug,7.5,23002.0
Entertainment,tt3343784,103.0,Nov,5.7,3301.0
Krrish,tt0432637,154.0,Jun,6.5,25787.0
Cocktail,tt0094889,104.0,Jul,5.9,94846.0
Student Of The Year 2,tt7255568,146.0,May,2.2,22907.0
Khiladi 786,tt2166214,141.0,Dec,4.4,8030.0
Welcome,tt0488798,150.0,Dec,7.1,27760.0
Dishoom,tt3679060,124.0,Jul,5.2,9293.0
Student Of The Year,tt2172071,146.0,Oct,5.3,21281.0
Raaz 3,tt2140315,139.0,Sep,4.2,4164.0
Hindi Medium,tt5764096,132.0,May,7.8,33005.0
Bhediya,tt14099334,156.0,Nov,6.7,26585.0
Kedarnath,tt7027278,116.0,Dec,6.8,15499.0
Dear Zindagi,tt5946128,151.0,Nov,7.4,45172.0
Tamasha,tt3148502,139.0,Nov,7.4,33263.0
Drishyam,tt4430212,163.0,Jul,8.2,100740.0
Special 26,tt2377938,144.0,Feb,8.0,60965.0
Love Aaj Kal,tt1275863,128.0,Jul,6.8,17340.0
Article 15,tt10324144,130.0,Jun,8.1,38070.0
R... Rajkumar,tt2369154,146.0,Dec,5.3,6998.0
Samrat Prithviraj,tt9637132,135.0,Jun,5.6,53617.0
Parmanu The Story Of Pokhran,tt6826438,129.0,May,7.6,25431.0
Pink,tt5571734,136.0,Sep,8.0,49994.0
Jab Harry Met Sejal,tt5997666,143.0,Aug,5.1,23296.0
Pyaar Ka Punchnama 2,tt4430136,137.0,Oct,7.2,16288.0
Ajab Prem Ki Ghazab Kahani,tt1252596,150.0,Nov,6.4,17304.0
Satyagraha,tt2275802,152.0,Aug,5.9,5492.0
Humshakals,tt3036740,159.0,Jun,1.7,8918.0
Secret Superstar,tt6108090,150.0,Oct,7.8,30247.0
Taare Zameen Par,tt13300004,,Nov,7.0,50.0
Shubh Mangal Zyada Saavdhan,tt10309906,117.0,Feb,5.8,10775.0
Rockstar,tt1839596,159.0,Nov,7.8,52278.0
Laal Singh Chaddha,tt10028196,159.0,Aug,5.6,178736.0
Tees Maar Khan,tt1572311,135.0,Dec,2.8,15177.0
Queen,tt3322420,146.0,Mar,8.1,69745.0
Wanted,tt0493464,110.0,Jun,6.7,419720.0
Race,tt3499096,134.0,Feb,7.1,42925.0
Udta Punjab,tt4434004,148.0,Jun,7.7,32640.0
Half Girlfriend,tt5474042,135.0,May,4.6,8080.0
Befikre,tt5108476,130.0,Dec,4.1,8429.0
Raanjhanaa,tt2359810,140.0,Jun,7.6,36287.0
Partner,tt0807758,155.0,Jul,5.8,13894.0
Besharam,tt2576450,143.0,Oct,3.5,6212.0
Malang,tt9877170,135.0,Feb,6.5,12488.0
Shootout at Wadala,tt2301155,155.0,May,6.0,7716.0
Mere Brother Ki Dulhan,tt1740710,139.0,Sep,5.9,10456.0
Mohenjo Daro,tt3859980,155.0,Aug,5.6,12973.0
Action Jackson,tt0094612,96.0,Feb,5.6,13166.0
Mary Kom,tt3001638,122.0,Sep,6.8,11577.0
Haider,tt3390572,160.0,Oct,8.0,58694.0
Jodhaa Akbar,tt0449994,213.0,Feb,7.5,35826.0
Mubarakan,tt6272828,156.0,Jul,5.6,4415.0
Once Upon a Time in Mumbaai,tt1395054,134.0,Jul,7.4,19291.0
Jaane Tu... Ya Jaane Na,tt0473367,155.0,Jul,7.4,28752.0
Yamla Pagla Deewana,tt1773109,163.0,Jan,5.7,4770.0
Kabhi Khushi Kabhie Gham,tt0248126,210.0,Dec,7.4,58366.0
Boss,tt1833285,1.0,Oct,8.1,18676.0
Phantom,tt1922685,98.0,Mar,5.9,15360.0
Jagga Jasoos,tt4129428,161.0,Jul,6.4,12084.0
Dilwale Dulhania Le Jayenge,tt0112870,181.0,Oct,8.0,80809.0
Rang De Basanti,tt0405508,167.0,Jan,8.1,123635.0
Heropanti,tt3142232,146.0,May,5.2,11092.0
Ki & Ka,tt3679040,145.0,Apr,4.0,41238.0
102 Not Out,tt6580564,102.0,May,7.4,7640.0
Fanaa,tt0439662,168.0,May,7.1,36111.0
Hate Story 3,tt4865436,126.0,Dec,4.6,3541.0
Delhi Belly,tt1934231,103.0,Jul,7.6,33003.0
Kahaani,tt1821480,122.0,Mar,8.1,67697.0
Golmaal Returns,tt1092005,135.0,Oct,5.2,9371.0
Main Tera Hero,tt2762334,128.0,Apr,5.1,10579.0
Sachin A Billion Dreams,tt4640206,138.0,May,8.5,8438.0
Sachin: A Billion Dreams,tt4640206,138.0,May,8.5,8438.0
Bachchhan Paandey,tt10699086,147.0,Mar,5.0,36839.0
Badlapur,tt3678782,134.0,Feb,7.4,26310.0
Kis Kisko Pyaar Karoon,tt4302956,133.0,Sep,5.6,6464.0
Spider-Man: No Way Home,tt10872600,148.0,Dec,8.2,958084.0
Kai Po Che!,tt2213054,120.0,Feb,7.8,39396.0
Bhool Bhulaiyaa,tt0995031,159.0,Oct,7.5,36269.0
Kites,tt1198101,123.0,May,6.0,13956.0
Raksha Bandhan,tt12834962,108.0,Aug,5.4,26878.0
De Dana Dan,tt1255951,162.0,Nov,5.9,11466.0
Marjaavaan,tt9248934,152.0,Nov,3.7,4722.0
Murder 2,tt1918965,127.0,Jul,6.3,7945.0
Himmatwala,tt2344678,150.0,Mar,1.7,9313.0
Mardaani 2,tt5668770,103.0,Dec,7.3,10607.0
Heyy Babyy,tt0806088,144.0,Aug,6.1,16476.0
Kambakkht Ishq,tt1144804,142.0,Jul,3.8,7658.0
Koi... Mil Gaya,tt0254481,171.0,Aug,7.1,28267.0
Kuch Kuch Hota Hai,tt0172684,185.0,Oct,7.5,58570.0
Ragini MMS 2,tt2609218,119.0,Mar,3.8,3167.0
Thank You,tt1720254,125.0,Apr,4.8,6478.0
Shuddh Desi Romance,tt2988272,141.0,Sep,5.8,10342.0
Hichki,tt6588966,116.0,Mar,7.5,14225.0
October,tt7700730,115.0,Apr,7.6,19685.0
Veer,tt1185412,169.0,Jan,4.6,8900.0
Ishaqzaade,tt2308773,120.0,May,6.5,8496.0
Guru,tt0499375,166.0,Jan,7.7,25336.0
New York,tt1328634,153.0,Jun,6.8,12388.0
Kabhi Alvida Naa Kehna,tt0449999,193.0,Aug,6.1,22834.0
No Entry,tt0451833,158.0,Aug,6.6,13071.0
Roy,tt2976182,146.0,Feb,3.2,7955.0
K.G.F : Chapter 1,tt7838252,154.0,Dec,8.2,102678.0
ABCD: Any Body Can Dance,tt2321163,160.0,Feb,6.3,7594.0
Dostana,tt1185420,145.0,Nov,6.4,16563.0
Double Dhamaal,tt1728239,138.0,Jul,4.0,4760.0
Kaho Naa... Pyaar Hai,tt0234000,172.0,Jan,6.9,16937.0
Heroine,tt1949548,149.0,Sep,5.0,4657.0
Ek Villain Returns,tt11947158,129.0,Jul,4.4,16063.0
Raja Hindustani,tt0117437,177.0,Nov,6.1,8557.0
Agent Vinod,tt1395025,157.0,Mar,5.2,8204.0
Shaandaar,tt4007558,144.0,Oct,3.6,6557.0
I Hate Luv Storys,tt1667838,129.0,Jul,5.7,8751.0
Romeo Akbar Walter,tt8550208,141.0,Apr,6.7,6433.0
Madras Cafe,tt2855648,130.0,Aug,7.6,25575.0
Desi Boyz,tt1985981,122.0,Nov,5.7,15421.0
Veer-Zaara,tt0420332,192.0,Nov,7.8,59059.0
Jannat 2,tt2319889,150.0,May,6.3,6161.0
Mohabbatein,tt0213890,216.0,Oct,7.1,35279.0
Devdas,tt0238936,185.0,Jul,7.5,49605.0
All The Best: Fun Begins,tt1433905,144.0,Oct,6.2,7356.0
Kaminey,tt1274295,130.0,Aug,7.4,18336.0
Chashme Baddoor,tt2229848,121.0,Apr,5.4,5404.0
Pagalpanti,tt9495690,149.0,Nov,3.3,2958.0
Atithi Tum Kab Jaoge?,tt1578116,155.0,Mar,6.5,7099.0
Wazir,tt0315642,103.0,Jan,7.1,20424.0
Batti Gul Meter Chalu,tt7720922,161.0,Sep,5.9,6515.0
Phir Hera Pheri,tt0419058,153.0,Jun,7.3,29070.0
Matru Ki Bijlee Ka Mandola,tt2106537,151.0,Jan,5.6,6392.0
Anjaana Anjaani,tt1499201,151.0,Oct,5.7,7578.0
Bhagam Bhag,tt0805184,157.0,Dec,6.7,16253.0
Love Aaj Kal,tt1275863,128.0,Jul,6.8,17340.0
Yaariyan,tt3382148,145.0,Jan,2.8,3834.0
Shamshera,tt8426926,178.0,Jul,4.7,57406.0
Aarakshan,tt1848771,164.0,Aug,6.2,5997.0
Antim: The Final Truth,tt13491110,138.0,Nov,6.2,42375.0
Ek Main Aur Ekk Tu,tt1703958,110.0,Feb,5.8,7408.0
Border,tt5501104,110.0,Oct,7.0,36168.0
Bhoothnath Returns,tt3531852,155.0,Apr,6.5,6575.0
Tevar,tt3398048,157.0,Jan,4.2,3455.0
Kal Ho Naa Ho,tt0347304,186.0,Nov,7.9,77007.0
Khatta Meetha,tt1455811,157.0,Jul,6.0,13101.0
Blue,tt0090756,120.0,Oct,7.7,233096.0
Cirkus,tt11112808,139.0,Dec,4.4,23884.0
A Flying Jatt,tt5235880,151.0,Aug,3.1,5687.0
Ta Ra Rum Pum,tt0833553,153.0,Apr,5.7,5768.0
Hasee Toh Phasee,tt3173910,141.0,Feb,6.8,16678.0
Main Hoon Na,tt0347473,182.0,Apr,7.1,41437.0
MOM,tt2660806,30.0,Sep,7.4,41588.0
Namastey London,tt0795434,128.0,Mar,7.1,23329.0
Shaadi Ke Side Effects,tt3302962,145.0,Feb,5.6,4289.0
Naam Shabana,tt6170954,147.0,Mar,6.2,7654.0
Tanu Weds Manu,tt1694542,113.0,Feb,6.8,16853.0
Bachna Ae Haseeno,tt1182972,152.0,Aug,6.2,13051.0
Thank God,tt13795296,121.0,Oct,5.6,12538.0
Fukrey,tt2806788,139.0,Jun,6.9,13632.0
Mastizaade,tt3726012,119.0,Jan,2.4,3080.0
Bunty Aur Babli,tt0448206,170.0,May,6.2,8508.0
Tumhari Sulu,tt6791730,150.0,Nov,7.0,5583.0
Bullett Raja,tt2551378,138.0,Nov,4.9,4159.0
Ramaiya Vastavaiya,tt2357926,148.0,Jul,5.8,4886.0
Ghayal Once Again,tt4683366,127.0,Feb,6.2,5458.0
Force 2,tt5156746,127.0,Nov,6.2,6154.0
Mardaani,tt3495000,113.0,Aug,7.3,13650.0
Finding Fanny,tt3142688,102.0,Sep,5.7,6787.0
Runway 34,tt11460992,145.0,Apr,7.0,31205.0
Vicky Donor,tt2317337,126.0,Apr,7.7,45945.0
Badmaash Company,tt1602476,142.0,May,6.1,7986.0
Chhapaak,tt9614460,120.0,Jan,5.4,27804.0
Dil To Pagal Hai,tt0118983,180.0,Oct,7.0,24940.0
English Vinglish,tt2181931,134.0,Oct,7.8,40807.0
Judgementall Hai Kya,tt8108196,121.0,Jul,5.9,7060.0
Hamari Adhuri Kahani,tt3483612,129.0,Jun,6.7,6991.0
Lagaan: Once Upon a Time in India,tt0169102,224.0,Jun,8.1,122152.0
Sarkar Raj,tt0490210,125.0,Jun,6.7,7920.0
Yamla Pagla Deewana 2,tt2510874,154.0,Jun,3.5,2138.0
Panipat,tt8176040,171.0,Dec,5.2,6195.0
Hero,tt0299977,107.0,Aug,7.9,190575.0
Bell Bottom,tt9430780,130.0,Feb,8.2,2686.0
Azhar,tt4906984,130.0,May,5.7,6061.0
Kill Dil,tt3380264,127.0,Nov,4.5,4527.0
Dhamaal,tt0845448,136.0,Sep,7.5,19863.0
Kahaani 2,tt5477608,127.0,Dec,6.5,6222.0
Ladies vs Ricky Bahl,tt1954598,140.0,Dec,6.0,10856.0
Uunchai,tt15309708,173.0,Nov,7.0,7573.0
Munna Michael,tt6117702,140.0,Jul,3.4,4015.0
Ghanchakkar,tt2246724,137.0,Jul,5.9,5339.0
Jai Gangaajal,tt4979082,149.0,Mar,5.8,2603.0
Rascals,tt1830786,128.0,Oct,3.0,3160.0
Jolly LLB,tt2621000,135.0,Mar,7.5,22727.0
Soorma,tt7690638,131.0,Jul,7.3,5781.0
Commando 3,tt8983168,133.0,Nov,5.9,4596.0
Shehzada,tt13130948,142.0,Feb,4.5,31748.0
Dhoom,tt0422091,129.0,Aug,6.6,23663.0
Karthikeya 2,tt13664684,150.0,Aug,7.9,64535.0
